scenario_id,scenario_description,recommended_care_option,explanation,urgency_level
8e3a78c5-caf8-4dd7-81e6-5562f14b219a,A 45-year-old visitor from Japan visiting family. Visitor wants motion sickness medication before a cruise or long road trip.,Pharmacy,OTC options like dimenhydrinate (Dramamine) or meclizine are available at pharmacies for motion sickness prevention.,Low
729d1763-ec3e-485c-b3af-3805e57a9d6a,A 35-year-old business traveler from France at a shopping mall. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
12502e49-8e85-44aa-a4bf-77c27678fcb2,A 33-year-old tourist from Spain visiting family. Traveler sustained a small cut on the hand while cooking that may need stitches.,Urgent Care Center,Urgent care can clean wounds and apply sutures or skin glue for lacerations that do not involve tendons or deep tissue.,Moderate
ccd47ac3-82c0-4a00-9d9e-8b3fdfad1697,A 40-year-old visitor from Saudi Arabia at a national park. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
15c94e24-0d4b-4871-b1ba-140cc912822a,A 50-year-old visitor from the UK at an Airbnb rental. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
8424124d-e372-4fc9-bcd1-6e2c3b6ef806,"A 45-year-old visitor from Japan at a national park. Visitor fell and hit their head, briefly losing consciousness and now feeling confused.",Emergency Room (ER),Loss of consciousness and confusion after a head injury indicates possible concussion or traumatic brain injury requiring immediate ER evaluation.,Critical
4c3b470e-79e9-4259-bea5-8aae856b2211,"A 33-year-old tourist from Spain attending a business conference. Visitor has a broken bone with visible deformity after a fall, and extreme pain.",Emergency Room (ER),"Suspected fractures with deformity require ER evaluation for imaging, realignment, and possible casting or surgical intervention.",High
ee4c55a7-f762-4ed4-9913-370eb2f49a51,A 22-year-old student from South Korea on a cruise stopover. Traveler needs blood work or basic lab tests but does not have health insurance.,Community Health Clinic,Community health centers can order and interpret basic lab tests on a sliding fee scale for uninsured patients.,Low
c562214d-7147-4dd6-acd4-c102c036ee23,A 62-year-old tourist from Germany at a national park. Traveler needs blood work or basic lab tests but does not have health insurance.,Community Health Clinic,Community health centers can order and interpret basic lab tests on a sliding fee scale for uninsured patients.,Low
8cbd14eb-f9e2-45c5-b344-92e436d3f69d,A 47-year-old traveler from Portugal at a shopping mall. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
0af2cc02-2ae6-4a5e-9d5c-7937f2aab1c4,A 50-year-old visitor from the UK attending a business conference. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
9adc1034-f2c3-465c-8b74-37030968a947,A 40-year-old visitor from Saudi Arabia during a road trip. Traveler has a mild ear infection with pain and muffled hearing but no high fever.,Urgent Care Center,Urgent care can diagnose ear infections and prescribe antibiotic drops or oral antibiotics.,Low-Moderate
a5792bce-59dd-481e-a755-aec23d42676c,A 28-year-old traveler from Brazil during a layover. Visitor wants guidance on whether their symptoms warrant an ER visit or can be managed at home.,Telehealth Service,"Telehealth triage services help visitors determine the appropriate level of care needed, potentially saving an unnecessary ER visit.",Low-Moderate
096c61f4-cfbd-4bf8-8d10-1c7fc7d9884a,A 28-year-old traveler from Brazil visiting family. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
4623d10e-01db-49a9-a545-4a818e8f33ec,A 45-year-old visitor from Japan during a road trip. Traveler is having a severe allergic reaction with throat swelling and difficulty breathing after eating.,Emergency Room (ER),"Anaphylaxis is life-threatening. Call 911 immediately. If an EpiPen is available, use it. Do not wait — go to the ER right away.",Critical
5a73045b-e97a-4a56-a828-e714d984b7b8,A 45-year-old visitor from Japan at a national park. Visitor is experiencing severe chest pain radiating to the left arm with shortness of breath.,Emergency Room (ER),Chest pain with radiation to the arm may indicate a cardiac emergency. Call 911 or go to the ER immediately. This is a life-threatening situation requiring immediate evaluation.,Critical
e9643934-d62c-4ce2-8192-f6d068ed6d7b,A 28-year-old traveler from Brazil at an amusement park. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
ee2e3180-375a-4b72-98d3-695019caf650,A 45-year-old visitor from Japan visiting family. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
89097f1e-a87d-4886-9cb2-09cbbb9c0441,A 47-year-old traveler from Portugal at an amusement park. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
25dda845-4386-47ce-bfea-c9807f395a0c,A 28-year-old traveler from Brazil attending a business conference. Traveler has a persistent cough lasting 5 days with no shortness of breath or chest pain.,Urgent Care Center,"Urgent care can evaluate upper respiratory infections, prescribe cough suppressants, and rule out pneumonia with a chest X-ray.",Low-Moderate
834303fe-1bfc-405d-b6db-74f1ce5dc94c,A 33-year-old tourist from Spain during a layover. Visitor needs routine vaccinations or travel immunizations not received before departure.,Community Health Clinic,"Many community health clinics offer vaccination services, including travel vaccines, often at reduced cost compared to private clinics.",Low
32888dac-21e9-4637-ae79-83a4042e85c1,A 33-year-old tourist from Spain on a student exchange program. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
36742466-f35e-4dfd-be9c-88a15b06c394,A 33-year-old tourist from Spain at a shopping mall. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
e1481492-bb65-4621-8d6b-e47e7b12faa7,A 68-year-old visitor from Italy on a student exchange program. Visitor has mild COVID symptoms and wants a virtual consultation before seeking in-person care.,Telehealth Service,"Telehealth providers can assess COVID symptoms, recommend testing, and advise on next steps without requiring an in-person visit.",Moderate
cbd3a4d1-a7f6-40a1-ae99-609c38d9dd13,A 68-year-old visitor from Italy at an amusement park. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
42d76905-93b1-4022-b43a-d07ca4a20c49,A 28-year-old traveler from Brazil at a hotel. Uninsured visitor needs a basic health check and blood pressure evaluation.,Community Health Clinic,Community clinics offer sliding-scale fee services for uninsured patients. They provide basic primary care regardless of insurance status.,Low
995f07a1-6cf0-4441-98b7-66b50b1c8169,A 30-year-old tourist from Australia visiting family. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
2229ad72-6fe3-4e85-89bf-d55b73f5eaef,A 47-year-old traveler from Portugal on a student exchange program. Visitor has mild COVID symptoms and wants a virtual consultation before seeking in-person care.,Telehealth Service,"Telehealth providers can assess COVID symptoms, recommend testing, and advise on next steps without requiring an in-person visit.",Moderate
a8305f1f-b173-4c88-b42d-1834e66af6a9,A 28-year-old traveler from Brazil attending a business conference. Uninsured visitor needs a basic health check and blood pressure evaluation.,Community Health Clinic,Community clinics offer sliding-scale fee services for uninsured patients. They provide basic primary care regardless of insurance status.,Low
70cfcfc6-1a59-4f94-b2db-b75bbf90a198,A 33-year-old tourist from Spain during a road trip. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
bed952b8-b89a-4514-83a2-b9eff3935575,A 35-year-old business traveler from France during a layover. Visitor needs routine vaccinations or travel immunizations not received before departure.,Community Health Clinic,"Many community health clinics offer vaccination services, including travel vaccines, often at reduced cost compared to private clinics.",Low
c3dd748b-ea57-4393-8a6d-64cfe3c28421,"A 72-year-old retiree from Canada on a student exchange program. Traveler needs cold and flu medicine, throat lozenges, and a thermometer.",Pharmacy,"Pharmacies stock a full range of OTC cold remedies, sore throat products, and medical devices like thermometers.",Low
0bbd1b14-85b3-4dc8-a5da-e93ebca2e560,A 50-year-old visitor from the UK on a cruise stopover. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
47421e70-522c-4f01-85b1-23c8c6678852,A 35-year-old business traveler from France at a shopping mall. Visitor needs antidiarrheal medication after stomach upset from travel.,Pharmacy,OTC medications like loperamide (Imodium) for diarrhea are available at any pharmacy without a prescription.,Low
882d87bc-a152-4793-830c-f6801e04db98,A 33-year-old tourist from Spain during a road trip. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
b925827a-4557-4f66-91ce-6387a6e01a54,A 72-year-old retiree from Canada on a 2-week vacation. Visitor has a deep laceration that is bleeding heavily and not stopping with direct pressure.,Emergency Room (ER),Uncontrolled bleeding from a deep wound is a medical emergency. Go to the ER or call 911 for immediate wound care and possible surgery.,Critical
9ce1e7fd-9739-4907-80e3-5a0d42f9b4eb,"A 55-year-old visitor from China at a hotel. Traveler needs to purchase bandages, antiseptic cream, and wound dressing supplies.",Pharmacy,Pharmacies carry complete first-aid supplies. A pharmacist can also advise on proper wound care for minor injuries.,Low
98bc5bc2-04d4-4712-89d7-32f29e7d11ac,A 45-year-old visitor from Japan after a long-haul flight. Visitor wants guidance on whether their symptoms warrant an ER visit or can be managed at home.,Telehealth Service,"Telehealth triage services help visitors determine the appropriate level of care needed, potentially saving an unnecessary ER visit.",Low-Moderate
c8205f77-f660-4535-848c-8c5b7a0eca5d,A 35-year-old business traveler from France at a national park. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
0d608e01-f3f2-42bc-a802-015ef168c5c3,A 22-year-old student from South Korea at an amusement park. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
cb09c084-e798-4cd1-a1ee-e692f69611e2,A 68-year-old visitor from Italy during a road trip. Uninsured visitor needs a basic health check and blood pressure evaluation.,Community Health Clinic,Community clinics offer sliding-scale fee services for uninsured patients. They provide basic primary care regardless of insurance status.,Low
e3f897ac-fa5b-412b-b2de-59f28816c441,A 45-year-old visitor from Japan at an Airbnb rental. Visitor is experiencing severe chest pain radiating to the left arm with shortness of breath.,Emergency Room (ER),Chest pain with radiation to the arm may indicate a cardiac emergency. Call 911 or go to the ER immediately. This is a life-threatening situation requiring immediate evaluation.,Critical
13760cd3-eec4-4f33-8350-3024881d1dd8,A 62-year-old tourist from Germany at a national park. Visitor has mild COVID symptoms and wants a virtual consultation before seeking in-person care.,Telehealth Service,"Telehealth providers can assess COVID symptoms, recommend testing, and advise on next steps without requiring an in-person visit.",Moderate
438bebe0-b5f5-4466-a8cb-39e507b79cc9,A 72-year-old retiree from Canada visiting family. Traveler needs blood work or basic lab tests but does not have health insurance.,Community Health Clinic,Community health centers can order and interpret basic lab tests on a sliding fee scale for uninsured patients.,Low
d576acc8-ba77-47a4-b855-ecd3a99bc3cc,A 25-year-old traveler from India visiting family. Traveler has a persistent cough lasting 5 days with no shortness of breath or chest pain.,Urgent Care Center,"Urgent care can evaluate upper respiratory infections, prescribe cough suppressants, and rule out pneumonia with a chest X-ray.",Low-Moderate
661c92c5-d5c4-4fdb-88ca-68df4d356775,A 33-year-old tourist from Spain at a national park. Visitor has a deep laceration that is bleeding heavily and not stopping with direct pressure.,Emergency Room (ER),Uncontrolled bleeding from a deep wound is a medical emergency. Go to the ER or call 911 for immediate wound care and possible surgery.,Critical
4b4210f4-fe88-4b5a-9a8f-2db99a7537ba,A 33-year-old tourist from Spain after a long-haul flight. Visitor has a high fever of 104°F with stiff neck and sensitivity to light.,Emergency Room (ER),"High fever with neck stiffness and photophobia are classic signs of meningitis, a life-threatening condition. Go to the ER immediately.",Critical
76a675ee-5389-4d5a-9193-93e5d9fb773c,A 30-year-old tourist from Australia attending a business conference. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
c1b77557-77cb-42f3-a062-178c4c3c44ff,A 35-year-old business traveler from France on a cruise stopover. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
00a7546f-7be3-4528-b673-2783eaeb880a,A 45-year-old visitor from Japan at a national park. Visitor needs a prescription transferred from their home country and filled locally.,Pharmacy,Pharmacists can advise on whether foreign prescriptions can be accepted (policies vary by state). A telehealth or urgent care visit may be needed to get a US prescription.,Low-Moderate
2dad5b79-8486-4f89-bf40-e3fcf3c6f351,A 19-year-old student from Mexico visiting family. Visitor wants medical advice about a mild skin rash that appeared during travel.,Telehealth Service,Telehealth dermatology services allow photo-based consultations for skin conditions. A provider can assess and prescribe treatment if needed.,Low
564b02d5-ecfa-4190-9f3e-dcb32736a8e9,A 35-year-old business traveler from France on a student exchange program. Visitor wants medical advice about a mild skin rash that appeared during travel.,Telehealth Service,Telehealth dermatology services allow photo-based consultations for skin conditions. A provider can assess and prescribe treatment if needed.,Low
865d67d4-5268-433a-8386-06352db5a7fe,A 50-year-old visitor from the UK at an Airbnb rental. Traveler has had a fever of 101°F for 24 hours with mild body aches and no rash.,Urgent Care Center,"Urgent care is appropriate for fevers that are persistent but not dangerously high, allowing evaluation and treatment without ER-level expense.",Moderate
c5286b79-51d8-4c11-895e-56c4bf5d32a6,"A 33-year-old tourist from Spain at a national park. Traveler needs to purchase bandages, antiseptic cream, and wound dressing supplies.",Pharmacy,Pharmacies carry complete first-aid supplies. A pharmacist can also advise on proper wound care for minor injuries.,Low
6d83378a-54f8-43d4-a356-a9d6be9b3392,A 30-year-old tourist from Australia during a layover. Visitor wants motion sickness medication before a cruise or long road trip.,Pharmacy,OTC options like dimenhydrinate (Dramamine) or meclizine are available at pharmacies for motion sickness prevention.,Low
aa595f7a-ae46-4607-8fd8-1150e987bbe2,"A 50-year-old visitor from the UK on a 2-week vacation. Visitor has a broken bone with visible deformity after a fall, and extreme pain.",Emergency Room (ER),"Suspected fractures with deformity require ER evaluation for imaging, realignment, and possible casting or surgical intervention.",High
94ac5c29-8a97-4906-b864-97209352480e,A 45-year-old visitor from Japan at a national park. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
a71d99f6-8ec4-4f80-b7be-48682ec3d90e,A 33-year-old tourist from Spain at a beach resort. Uninsured visitor needs a basic health check and blood pressure evaluation.,Community Health Clinic,Community clinics offer sliding-scale fee services for uninsured patients. They provide basic primary care regardless of insurance status.,Low
d4d4a79c-0bce-4f87-ba43-41dfe76f681d,A 30-year-old tourist from Australia after a long-haul flight. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
fe7a6ffa-f1f5-4efd-b5ba-9aaf922a3b34,A 47-year-old traveler from Portugal at a hotel. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
f21dc4a9-529a-4cf0-a77d-7838a45b47ab,"A 19-year-old student from Mexico during a road trip. Traveler needs cold and flu medicine, throat lozenges, and a thermometer.",Pharmacy,"Pharmacies stock a full range of OTC cold remedies, sore throat products, and medical devices like thermometers.",Low
f4206577-6d19-46f1-827f-b508c9fb29aa,A 72-year-old retiree from Canada on a 2-week vacation. Traveler needs blood work or basic lab tests but does not have health insurance.,Community Health Clinic,Community health centers can order and interpret basic lab tests on a sliding fee scale for uninsured patients.,Low
50764fe7-fbc0-47e1-bf61-f718b917e987,A 45-year-old visitor from Japan visiting family. Visitor wants medical advice about a mild skin rash that appeared during travel.,Telehealth Service,Telehealth dermatology services allow photo-based consultations for skin conditions. A provider can assess and prescribe treatment if needed.,Low
bed80589-6f30-4756-be4b-08184457e72e,A 47-year-old traveler from Portugal at a beach resort. Traveler is experiencing a seizure for the first time with no prior history of epilepsy.,Emergency Room (ER),A first-time seizure requires immediate ER evaluation to identify the underlying cause.,Critical
4275c4fe-e0a7-4599-bbf6-7159c74461c2,A 40-year-old visitor from Saudi Arabia on a cruise stopover. Traveler has a sore throat and difficulty swallowing for two days with no breathing problems.,Urgent Care Center,"Urgent care can test for strep throat and prescribe antibiotics if needed, providing faster service than scheduling a primary care visit.",Low-Moderate
f89faa99-5f92-43af-abff-3729a47cd03c,A 72-year-old retiree from Canada during a road trip. Visitor has mild COVID symptoms and wants a virtual consultation before seeking in-person care.,Telehealth Service,"Telehealth providers can assess COVID symptoms, recommend testing, and advise on next steps without requiring an in-person visit.",Moderate
df96a61f-44e3-41ed-a011-602b09cd7196,A 47-year-old traveler from Portugal on a 2-week vacation. Traveler has a persistent cough lasting 5 days with no shortness of breath or chest pain.,Urgent Care Center,"Urgent care can evaluate upper respiratory infections, prescribe cough suppressants, and rule out pneumonia with a chest X-ray.",Low-Moderate
9bed8a94-cfd7-40e7-95ce-013d3de1f29d,A 72-year-old retiree from Canada visiting family. Visitor needs antidiarrheal medication after stomach upset from travel.,Pharmacy,OTC medications like loperamide (Imodium) for diarrhea are available at any pharmacy without a prescription.,Low
119b5366-f44e-46f4-bf75-b14c97117749,A 50-year-old visitor from the UK on a cruise stopover. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
1a5266d2-5138-45d0-aa8f-21de5fe3e88d,A 45-year-old visitor from Japan sightseeing in the city. Traveler feels anxious and stressed during their trip and wants to speak with a mental health professional.,Telehealth Service,Telehealth platforms offer same-day or next-day mental health counseling via video call. No physical visit required.,Low-Moderate
5df47fbb-bbe8-4ee0-9217-fbc3fb0761e9,A 19-year-old student from Mexico at a national park. Traveler has a sore throat and difficulty swallowing for two days with no breathing problems.,Urgent Care Center,"Urgent care can test for strep throat and prescribe antibiotics if needed, providing faster service than scheduling a primary care visit.",Low-Moderate
f4eb9b77-c0de-42fe-85d3-c9ba45131b56,A 40-year-old visitor from Saudi Arabia during a layover. Uninsured visitor needs a basic health check and blood pressure evaluation.,Community Health Clinic,Community clinics offer sliding-scale fee services for uninsured patients. They provide basic primary care regardless of insurance status.,Low
497a9d97-8901-437c-a040-03ffb74a000f,A 68-year-old visitor from Italy at a national park. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
37c8efc4-dc1e-4af4-b58b-02582f792ffc,A 50-year-old visitor from the UK during a layover. Visitor has a high fever of 104°F with stiff neck and sensitivity to light.,Emergency Room (ER),"High fever with neck stiffness and photophobia are classic signs of meningitis, a life-threatening condition. Go to the ER immediately.",Critical
90d977f8-153a-4193-afe9-71242f626b1f,"A 30-year-old tourist from Australia attending a business conference. Traveler is experiencing signs of stroke: face drooping, arm weakness, slurred speech.",Emergency Room (ER),"FAST symptoms (Face drooping, Arm weakness, Speech difficulty, Time to call 911) indicate a stroke. Every minute counts — call 911 immediately.",Critical
45a4b1cc-804b-4a6c-86d1-85264d1ac081,A 47-year-old traveler from Portugal on a cruise stopover. Traveler has a sore throat and difficulty swallowing for two days with no breathing problems.,Urgent Care Center,"Urgent care can test for strep throat and prescribe antibiotics if needed, providing faster service than scheduling a primary care visit.",Low-Moderate
80050da3-96d8-4c92-82f1-c4e18db4077b,A 50-year-old visitor from the UK sightseeing in the city. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
1d063afb-c4b1-4d98-b578-8e7f73cc4878,A 72-year-old retiree from Canada on a 2-week vacation. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
0c9e164f-dd91-4f8b-a24c-b39f94aecae1,"A 33-year-old tourist from Spain on a 2-week vacation. Traveler needs to purchase bandages, antiseptic cream, and wound dressing supplies.",Pharmacy,Pharmacies carry complete first-aid supplies. A pharmacist can also advise on proper wound care for minor injuries.,Low
40d536f0-4eab-42f8-8c14-fbd349d677f3,A 33-year-old tourist from Spain at an Airbnb rental. Traveler has had a fever of 101°F for 24 hours with mild body aches and no rash.,Urgent Care Center,"Urgent care is appropriate for fevers that are persistent but not dangerously high, allowing evaluation and treatment without ER-level expense.",Moderate
09ab7b3b-ec1a-40a3-8242-ad64420cfa95,A 28-year-old traveler from Brazil at an Airbnb rental. Visitor needs to purchase over-the-counter pain relief medication for a mild headache.,Pharmacy,Pharmacies carry a wide range of OTC medications including acetaminophen (Tylenol) and ibuprofen (Advil) for headache relief. No prescription needed.,Low
8dd62783-8b5e-4f4c-97b2-4eca3b285de8,A 30-year-old tourist from Australia during a road trip. Traveler needs blood work or basic lab tests but does not have health insurance.,Community Health Clinic,Community health centers can order and interpret basic lab tests on a sliding fee scale for uninsured patients.,Low
10d192bf-1491-4049-b084-1ee8ef082e78,A 62-year-old tourist from Germany during a layover. Traveler has a persistent cough lasting 5 days with no shortness of breath or chest pain.,Urgent Care Center,"Urgent care can evaluate upper respiratory infections, prescribe cough suppressants, and rule out pneumonia with a chest X-ray.",Low-Moderate
5bbe36dd-63cd-48ae-b02b-0b96ccf4c482,A 30-year-old tourist from Australia sightseeing in the city. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
0a0c34dc-9b81-4469-8558-d5063fcf3e64,A 72-year-old retiree from Canada at a hotel. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
8c6fc3f7-80fa-44f8-ab5b-2a4e5aace5f2,A 30-year-old tourist from Australia during a layover. Traveler needs medical documentation or a sick note for travel insurance purposes.,Telehealth Service,"Telehealth physicians can provide medical documentation, letters, and notes during a virtual consultation.",Low
2a470a9b-c789-4ec3-9709-67f7e02c8dee,A 22-year-old student from South Korea sightseeing in the city. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
35c7b951-6e14-45d0-8d9d-b6996937c62c,A 40-year-old visitor from Saudi Arabia at an amusement park. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
5564a4e7-810a-4880-bdf3-3c556d8ca96a,"A 28-year-old traveler from Brazil at a shopping mall. Visitor fell and hit their head, briefly losing consciousness and now feeling confused.",Emergency Room (ER),Loss of consciousness and confusion after a head injury indicates possible concussion or traumatic brain injury requiring immediate ER evaluation.,Critical
6e8a082e-a297-4713-ae9a-1ffa958bef72,A 72-year-old retiree from Canada on a student exchange program. Visitor has a suspected urinary tract infection with burning sensation and frequent urination.,Urgent Care Center,Urgent care centers can diagnose UTIs with a urine test and prescribe appropriate antibiotics quickly.,Moderate
6478b2f6-ca5b-4ad3-892b-89e6878c1af1,A 40-year-old visitor from Saudi Arabia on a cruise stopover. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
ce3d2bea-9a34-4adc-911a-f720386650ab,"A 22-year-old student from South Korea during a layover. Visitor slipped on wet floor and has wrist pain with minor swelling, no open wound.",Urgent Care Center,Urgent care can X-ray the wrist to rule out fractures and provide splinting or referral if needed.,Moderate
032d0dc9-2b8f-434f-8841-3a6dc0606668,A 47-year-old traveler from Portugal at a beach resort. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
80daccb5-4e08-4b03-af9c-5f650103def6,"A 47-year-old traveler from Portugal on a student exchange program. Traveler is experiencing signs of stroke: face drooping, arm weakness, slurred speech.",Emergency Room (ER),"FAST symptoms (Face drooping, Arm weakness, Speech difficulty, Time to call 911) indicate a stroke. Every minute counts — call 911 immediately.",Critical
2a923267-09bc-4b8d-a949-8b660252f967,A 45-year-old visitor from Japan sightseeing in the city. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
17316300-537f-430e-8a35-6e1d1a8b6719,A 19-year-old student from Mexico during a road trip. Visitor has been vomiting for several hours after eating street food and feels dehydrated.,Urgent Care Center,Food poisoning with mild-to-moderate dehydration can be treated at urgent care with IV fluids if needed. Go to the ER if symptoms worsen severely.,Moderate
16322c64-f46a-45d3-8090-915f3dcc678d,A 47-year-old traveler from Portugal at an amusement park. Traveler ran out of daily allergy medication and needs a refill or OTC equivalent.,Pharmacy,Many allergy medications like cetirizine (Zyrtec) and loratadine (Claritin) are available OTC at pharmacies. Ask the pharmacist for guidance.,Low
6e918cf0-7882-49ed-aa36-076993ea4b09,A 55-year-old visitor from China at an Airbnb rental. Traveler needs a prescription renewal for a chronic condition medication they take regularly.,Telehealth Service,Telehealth providers can evaluate ongoing chronic conditions and issue prescription renewals in most states. This is the most convenient option for travelers.,Low-Moderate
eeab7bb2-6532-4d5a-9f82-2d1a756a17e0,A 30-year-old tourist from Australia visiting family. Visitor is experiencing severe chest pain radiating to the left arm with shortness of breath.,Emergency Room (ER),Chest pain with radiation to the arm may indicate a cardiac emergency. Call 911 or go to the ER immediately. This is a life-threatening situation requiring immediate evaluation.,Critical
579e18e3-2eca-4744-8200-d49031365f44,A 30-year-old tourist from Australia during a layover. Visitor needs routine vaccinations or travel immunizations not received before departure.,Community Health Clinic,"Many community health clinics offer vaccination services, including travel vaccines, often at reduced cost compared to private clinics.",Low
