term_id,term,simple_explanation,visitor_friendly_explanation
ca1c52b0-cf57-42bc-83ee-395e9b51c6a8,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
1304323e-ce4e-4582-a33e-fcb922458e84,Medical History,"A record of a patient's past and current health conditions, surgeries, medications, allergies, and family health history.","When you see a doctor in the US, they will ask about your medical history — past illnesses, surgeries, current medications, and allergies. Bring a written summary in English if possible, especially if you have chronic conditions."
411c2073-dbae-4531-bdd0-f313e726d112,Coinsurance,"After meeting your deductible, the percentage of healthcare costs you share with your insurance company.","After you've met your deductible, coinsurance means you and your insurance both share the remaining bill. For example, with 80/20 coinsurance, your insurance pays 80% and you pay 20% of each bill."
f8eab9ff-c918-4c1d-ba5f-7bd9e902b6ae,Anaphylaxis,"A severe, life-threatening allergic reaction requiring immediate epinephrine injection.","Anaphylaxis is the most severe form of allergic reaction. Symptoms include throat swelling, hives, dropping blood pressure, and difficulty breathing. This is always a 911/ER emergency. If you carry an EpiPen, use it immediately."
75bda484-c7d1-42dc-ab3f-b4ac289f56f0,Copay,"A fixed dollar amount you pay for a covered healthcare service, usually at the time of service.","Think of a copay like a fixed entry fee. For example, you might pay $30 every time you visit a doctor, regardless of what happens during the appointment. Your insurance covers the rest of the bill."
91dfbadd-5b99-4d68-bcc5-5453ff01b8e8,GoodRx,A free US-based prescription discount service that provides coupons to reduce the cost of medications at participating pharmacies.,GoodRx is a free app or website (goodrx.com) that gives you discount coupons for prescription medications at US pharmacies. Uninsured visitors can often save 60–80% on medications using GoodRx. No insurance required.
089a1030-1214-4038-8aab-1ba6fc38171b,HIPAA,A US federal law protecting the privacy and security of patients' medical information.,"HIPAA means your medical information in the US is legally protected. Healthcare providers cannot share your health details with others without your permission, except in limited situations like emergencies or legal requirements."
b040243f-6c70-4c17-b694-b0b438723a47,Vital Signs,"Measurements of basic body functions including temperature, blood pressure, pulse rate, and breathing rate.","When you visit any clinic, a nurse will check your vital signs first: your temperature, blood pressure, heart rate, and how fast you breathe. These basic measurements help the doctor understand your overall health state."
6af6b55a-9728-4934-ac95-a6f5cd3ee132,Sutures (Stitches),Threads used by medical professionals to close wounds.,"If you have a deep cut, a doctor may use sutures (stitches) to close the wound. This is typically done at urgent care or the ER. After treatment, you will receive instructions on keeping the wound clean and when to have stitches removed."
2b1bb2f6-f4d9-4347-97c4-4a3dc43ee320,Out-of-Pocket Maximum,The most you will have to pay for covered services in a plan year before your insurance pays 100% of covered costs.,"This is your financial safety net. Once you've spent a certain amount of money on healthcare in a year (e.g., $6,000), your insurance covers 100% of additional covered costs for the rest of the year."
555f90bd-d67f-4f4f-9f52-cbfa29526866,Medical ID Bracelet,A bracelet worn by individuals with serious medical conditions or allergies to alert emergency responders.,"A medical ID bracelet contains critical health information (like severe allergies or chronic conditions) that emergency responders check if you are unconscious. If you have a serious condition, wearing one while traveling in the US could save your life."
4911060e-89d6-46fc-b7bf-d44ab0663740,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
65bfb74c-1e18-451c-91ef-b27ae8c3504d,Telehealth,"Medical consultations, diagnoses, and prescriptions delivered remotely via video call, phone, or messaging.","Telehealth lets you see a licensed US doctor from your phone or computer without going anywhere. Perfect for travelers who need a prescription refill, advice for a mild illness, or mental health support."
a8d59355-2ff9-4750-ab51-edcce09b0ebf,Sliding Scale Fee,A payment system where the cost of services is adjusted based on a patient's income level.,"Some community health clinics charge based on what you can afford — the less you earn, the less you pay. This is called a sliding scale fee. Uninsured visitors with limited funds can access real medical care this way."
14237f0e-8a07-47cc-8ecc-ae859d0c1a4d,Sutures (Stitches),Threads used by medical professionals to close wounds.,"If you have a deep cut, a doctor may use sutures (stitches) to close the wound. This is typically done at urgent care or the ER. After treatment, you will receive instructions on keeping the wound clean and when to have stitches removed."
3204f315-4516-4bd0-b9a5-b2dc23c1cbd5,Emergency Medical Evacuation,Transportation of a patient to the nearest appropriate medical facility or back to their home country when local treatment is unavailable or insufficient.,"If you are seriously ill or injured and need to be flown home or to a better-equipped hospital, this is called a medical evacuation. Some travel insurance plans cover this, which can cost $50,000 to $200,000 without insurance."
604d893f-3fdd-46d1-9df4-211af319543a,Sliding Scale Fee,A payment system where the cost of services is adjusted based on a patient's income level.,"Some community health clinics charge based on what you can afford — the less you earn, the less you pay. This is called a sliding scale fee. Uninsured visitors with limited funds can access real medical care this way."
9c8064fd-c46b-475f-b4e8-00301a9d4d36,HIPAA,A US federal law protecting the privacy and security of patients' medical information.,"HIPAA means your medical information in the US is legally protected. Healthcare providers cannot share your health details with others without your permission, except in limited situations like emergencies or legal requirements."
8cc6cf65-c255-4cd1-80e9-86d84ac3abb4,Medical History,"A record of a patient's past and current health conditions, surgeries, medications, allergies, and family health history.","When you see a doctor in the US, they will ask about your medical history — past illnesses, surgeries, current medications, and allergies. Bring a written summary in English if possible, especially if you have chronic conditions."
5ec4f691-89fb-4154-8877-19e658499be0,Travel Insurance,"Insurance purchased before a trip that can cover medical emergencies, trip cancellations, and other unexpected events during travel.","Travel insurance is your financial safety net while traveling internationally. If you get sick or injured in the US, it can help cover your hospital bills, emergency transport, and even medical evacuation back to your home country."
66202621-d0a7-42a1-9077-bbbc4594f5a0,CT Scan,A computed tomography scan that uses X-rays to create detailed cross-sectional images of the body.,"A CT scan produces detailed images of your internal organs, bones, and tissues. It is more detailed than a standard X-ray and is typically done at a hospital or emergency setting for more serious conditions."
278288c7-538a-48ce-84d9-f74c8d22b214,Discharge Instructions,"Written guidelines provided to patients when leaving a medical facility explaining follow-up care, medications, and warning signs.","When you leave a clinic or ER, staff will give you discharge instructions — a printed sheet explaining what happened, what medications to take, activities to avoid, and warning signs that mean you should return or call a doctor."
b0de1c84-2c55-4d36-82e1-02375a611fc7,In-Network Provider,A healthcare provider or facility that has a contract with your insurance company to provide services at negotiated rates.,"Your insurance has 'preferred' doctors and hospitals it has deals with, called in-network providers. Visiting these providers costs you much less than going to out-of-network providers who don't have a deal with your insurer."
33843e90-f17f-46e0-8dbb-aecab17b0fed,Out-of-Pocket Maximum,The most you will have to pay for covered services in a plan year before your insurance pays 100% of covered costs.,"This is your financial safety net. Once you've spent a certain amount of money on healthcare in a year (e.g., $6,000), your insurance covers 100% of additional covered costs for the rest of the year."
d8d99326-ee74-4ee6-ac28-1288ccb27d84,Discharge Instructions,"Written guidelines provided to patients when leaving a medical facility explaining follow-up care, medications, and warning signs.","When you leave a clinic or ER, staff will give you discharge instructions — a printed sheet explaining what happened, what medications to take, activities to avoid, and warning signs that mean you should return or call a doctor."
a8e89c80-b02e-4f3e-a39d-96b7c978c799,911,"The universal emergency telephone number in the United States for police, fire, and medical emergencies.","In any life-threatening emergency in the US, call 911 from any phone (even without a SIM card or credit). Dispatchers are available 24/7 and can send police, fire, or ambulance services immediately. Calls are free."
cea6f739-1af6-4ca3-a8a0-8cb8c20db0b5,Travel Insurance,"Insurance purchased before a trip that can cover medical emergencies, trip cancellations, and other unexpected events during travel.","Travel insurance is your financial safety net while traveling internationally. If you get sick or injured in the US, it can help cover your hospital bills, emergency transport, and even medical evacuation back to your home country."
2e46556c-3b63-424c-844c-7ff01d132038,Walk-in Clinic,A medical clinic that accepts patients without a prior appointment.,Walk-in clinics let you see a doctor without scheduling ahead. Most urgent care centers and some pharmacies operate as walk-in clinics. Ideal for travelers with unpredictable schedules.
89eab0b9-3464-4655-b2b3-68508ae6848c,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
677fd4e8-c754-421f-93e4-9db0596c2ae2,Medical History,"A record of a patient's past and current health conditions, surgeries, medications, allergies, and family health history.","When you see a doctor in the US, they will ask about your medical history — past illnesses, surgeries, current medications, and allergies. Bring a written summary in English if possible, especially if you have chronic conditions."
6d5a974a-d706-4bff-9100-43f77a58e4e9,Deductible,The amount you must pay out-of-pocket for healthcare services before your insurance starts paying.,"Imagine your insurance has a 'startup cost' of $1,000 per year. Until you've paid $1,000 in medical bills yourself, your insurance won't contribute. After that, they start helping pay your bills."
1db11450-cabb-429f-a407-a7c5993ac392,Out-of-Network Provider,"A healthcare provider who does not have a contract with your insurance company, often resulting in higher costs for the patient.","If you visit a doctor or hospital that your insurance hasn't partnered with, you're going 'out of network.' This usually means much higher bills and your insurance may pay very little or nothing."
09a7bc1d-891d-461b-b395-d9b653e9b6b9,In-Network Provider,A healthcare provider or facility that has a contract with your insurance company to provide services at negotiated rates.,"Your insurance has 'preferred' doctors and hospitals it has deals with, called in-network providers. Visiting these providers costs you much less than going to out-of-network providers who don't have a deal with your insurer."
7e85c46b-8053-407e-8386-ef5815d81ec3,Referral,A formal recommendation from one healthcare provider directing a patient to see another provider or specialist.,"If your urgent care doctor believes you need to see a specialist (e.g., a heart doctor or bone specialist), they will give you a referral — a formal recommendation to schedule an appointment with that specialist."
5afb8983-6e6c-4837-93d0-103e95589682,Coinsurance,"After meeting your deductible, the percentage of healthcare costs you share with your insurance company.","After you've met your deductible, coinsurance means you and your insurance both share the remaining bill. For example, with 80/20 coinsurance, your insurance pays 80% and you pay 20% of each bill."
556b323e-3f7f-4918-9204-f39c22f44f04,Emergency Room (ER),"A hospital department providing immediate care for life-threatening medical emergencies, available 24 hours a day, 7 days a week.","The ER is for true emergencies — situations where your life or a limb is at risk. Think: heart attack, stroke, severe allergic reaction, or major accident. Going to the ER for a mild illness is very expensive and involves long waits."
9ecdf4ce-cc03-4aa2-8508-782a99435c2a,Discharge Instructions,"Written guidelines provided to patients when leaving a medical facility explaining follow-up care, medications, and warning signs.","When you leave a clinic or ER, staff will give you discharge instructions — a printed sheet explaining what happened, what medications to take, activities to avoid, and warning signs that mean you should return or call a doctor."
8061d10a-447e-4062-9026-b71f1d9b0325,Observation Status,A hospital status where a patient is monitored for a period of time while a decision is made about whether to admit them.,"If you visit the ER and the doctor is uncertain whether you need to be hospitalized, you may be placed in 'observation status.' This means you stay in the hospital for monitoring but are not officially admitted — this can affect what your insurance covers."
6aea303f-1dc2-48fa-a9f2-4416a99578f3,Ambulance,An emergency vehicle equipped to provide medical care and transport patients to a hospital.,"Calling 911 for a medical emergency will dispatch an ambulance. Be aware that ambulance rides in the US are expensive — often $1,000 to $3,000. For non-life-threatening situations, arranging your own transportation to urgent care is more cost-effective."
add3229a-36ac-4675-9413-464c38045af8,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
68b8411a-cf61-4713-a135-e48427d31507,Premium,"The monthly amount you pay to maintain your health insurance coverage, regardless of whether you use it.","Your premium is like a monthly subscription fee for your health insurance. You pay it every month to keep your coverage active, even if you never visit a doctor that month."
cec74e1d-62ed-469c-a732-85883eaebd85,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
7c56f7cf-aaf7-497a-9c12-42956639641e,Premium,"The monthly amount you pay to maintain your health insurance coverage, regardless of whether you use it.","Your premium is like a monthly subscription fee for your health insurance. You pay it every month to keep your coverage active, even if you never visit a doctor that month."
907f2052-0e70-458f-add9-0f7b212a2f21,911,"The universal emergency telephone number in the United States for police, fire, and medical emergencies.","In any life-threatening emergency in the US, call 911 from any phone (even without a SIM card or credit). Dispatchers are available 24/7 and can send police, fire, or ambulance services immediately. Calls are free."
752fc821-1d20-49de-a3d5-2f05dad043c0,HIPAA,A US federal law protecting the privacy and security of patients' medical information.,"HIPAA means your medical information in the US is legally protected. Healthcare providers cannot share your health details with others without your permission, except in limited situations like emergencies or legal requirements."
f2cc05b1-e1f1-4892-bebb-86b9c84b2739,911,"The universal emergency telephone number in the United States for police, fire, and medical emergencies.","In any life-threatening emergency in the US, call 911 from any phone (even without a SIM card or credit). Dispatchers are available 24/7 and can send police, fire, or ambulance services immediately. Calls are free."
a64f59d7-f01f-46ed-97a8-8ce75070e445,Ambulance,An emergency vehicle equipped to provide medical care and transport patients to a hospital.,"Calling 911 for a medical emergency will dispatch an ambulance. Be aware that ambulance rides in the US are expensive — often $1,000 to $3,000. For non-life-threatening situations, arranging your own transportation to urgent care is more cost-effective."
0295a924-69f6-4f22-b45a-ffe33f1a8a9b,Sliding Scale Fee,A payment system where the cost of services is adjusted based on a patient's income level.,"Some community health clinics charge based on what you can afford — the less you earn, the less you pay. This is called a sliding scale fee. Uninsured visitors with limited funds can access real medical care this way."
9a81ed14-6c5e-42ab-b665-2b64d19053f8,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
bd7e9a60-7c67-4b6c-88a1-d4174dacac55,Sliding Scale Fee,A payment system where the cost of services is adjusted based on a patient's income level.,"Some community health clinics charge based on what you can afford — the less you earn, the less you pay. This is called a sliding scale fee. Uninsured visitors with limited funds can access real medical care this way."
8c0cf38d-2790-4120-94bf-f67da1bcba6f,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
06f7f364-576b-415d-9e32-4b9a46faa304,Lab Work / Blood Work,"Medical tests performed on blood, urine, or other body fluids to assess health status or diagnose conditions.","When a doctor orders 'labs' or 'blood work,' a small blood or urine sample is collected and analyzed. Results help the doctor understand what is happening in your body, such as checking for infection or monitoring organ function."
7f6a70f4-49b9-46ce-a48d-e7f94364f57f,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
8d47d804-2d4a-4c03-88b6-507d9aecec46,Out-of-Network Provider,"A healthcare provider who does not have a contract with your insurance company, often resulting in higher costs for the patient.","If you visit a doctor or hospital that your insurance hasn't partnered with, you're going 'out of network.' This usually means much higher bills and your insurance may pay very little or nothing."
3569f545-8626-4aca-9c39-aad2e5a172c9,Anaphylaxis,"A severe, life-threatening allergic reaction requiring immediate epinephrine injection.","Anaphylaxis is the most severe form of allergic reaction. Symptoms include throat swelling, hives, dropping blood pressure, and difficulty breathing. This is always a 911/ER emergency. If you carry an EpiPen, use it immediately."
f63dd2a8-fa8e-42d4-a411-2e410bc75017,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
75808915-9bb9-4b4e-ac3b-b1213a722588,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
3ddf968d-a192-4e52-8904-e1f85bd2e643,Emergency Room (ER),"A hospital department providing immediate care for life-threatening medical emergencies, available 24 hours a day, 7 days a week.","The ER is for true emergencies — situations where your life or a limb is at risk. Think: heart attack, stroke, severe allergic reaction, or major accident. Going to the ER for a mild illness is very expensive and involves long waits."
3ae489fc-9b96-4ac2-824e-09361260d4ab,Discharge Instructions,"Written guidelines provided to patients when leaving a medical facility explaining follow-up care, medications, and warning signs.","When you leave a clinic or ER, staff will give you discharge instructions — a printed sheet explaining what happened, what medications to take, activities to avoid, and warning signs that mean you should return or call a doctor."
1c78631e-9d69-4e81-b1e1-2d8a343e0bc0,HIPAA,A US federal law protecting the privacy and security of patients' medical information.,"HIPAA means your medical information in the US is legally protected. Healthcare providers cannot share your health details with others without your permission, except in limited situations like emergencies or legal requirements."
e8bd3f2c-c659-42e8-9911-26603483e8dd,In-Network Provider,A healthcare provider or facility that has a contract with your insurance company to provide services at negotiated rates.,"Your insurance has 'preferred' doctors and hospitals it has deals with, called in-network providers. Visiting these providers costs you much less than going to out-of-network providers who don't have a deal with your insurer."
63c9ca1b-4be7-4d4c-819b-bda8cc751d82,Prescription Medication,Medication that legally requires a written order from a licensed healthcare provider before it can be dispensed by a pharmacist.,"Some medications are prescription-only, meaning a US doctor must authorize them before a pharmacy will give them to you. If you need a prescription from home refilled, you may need a telehealth or urgent care visit to get a US prescription."
c2104d78-fb0a-4d11-aff7-2ed21b27267a,CT Scan,A computed tomography scan that uses X-rays to create detailed cross-sectional images of the body.,"A CT scan produces detailed images of your internal organs, bones, and tissues. It is more detailed than a standard X-ray and is typically done at a hospital or emergency setting for more serious conditions."
8b48d1dd-7d09-4a0e-8ed6-ac627ab7d3ba,Deductible,The amount you must pay out-of-pocket for healthcare services before your insurance starts paying.,"Imagine your insurance has a 'startup cost' of $1,000 per year. Until you've paid $1,000 in medical bills yourself, your insurance won't contribute. After that, they start helping pay your bills."
06d26792-986d-4241-b550-aada7bfecd0b,Copay,"A fixed dollar amount you pay for a covered healthcare service, usually at the time of service.","Think of a copay like a fixed entry fee. For example, you might pay $30 every time you visit a doctor, regardless of what happens during the appointment. Your insurance covers the rest of the bill."
942dc209-aec8-4a3b-b613-d88b8b9af564,Ambulance,An emergency vehicle equipped to provide medical care and transport patients to a hospital.,"Calling 911 for a medical emergency will dispatch an ambulance. Be aware that ambulance rides in the US are expensive — often $1,000 to $3,000. For non-life-threatening situations, arranging your own transportation to urgent care is more cost-effective."
1dcb0d34-f0c3-49d2-8041-9a09827d7d1c,Ambulance,An emergency vehicle equipped to provide medical care and transport patients to a hospital.,"Calling 911 for a medical emergency will dispatch an ambulance. Be aware that ambulance rides in the US are expensive — often $1,000 to $3,000. For non-life-threatening situations, arranging your own transportation to urgent care is more cost-effective."
db03a56e-4a5a-405d-ae9a-727e91be405c,Poison Control Center,"A medical resource providing free, confidential guidance for poisoning emergencies 24 hours a day.","If someone swallows a harmful substance, call the US Poison Control hotline at 1-800-222-1222. This free service is available 24/7 and connects you with toxicology experts who can guide you on whether you need to go to the ER."
539691b1-136a-4b3a-823b-9e84a3fd90b3,Telehealth,"Medical consultations, diagnoses, and prescriptions delivered remotely via video call, phone, or messaging.","Telehealth lets you see a licensed US doctor from your phone or computer without going anywhere. Perfect for travelers who need a prescription refill, advice for a mild illness, or mental health support."
e9fe4e0d-b39d-4424-a969-48df2462b934,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
bba2a47f-4442-41e7-96d0-c51635baa767,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
301a8e85-4e48-43d9-8b27-4ac3d0b19462,GoodRx,A free US-based prescription discount service that provides coupons to reduce the cost of medications at participating pharmacies.,GoodRx is a free app or website (goodrx.com) that gives you discount coupons for prescription medications at US pharmacies. Uninsured visitors can often save 60–80% on medications using GoodRx. No insurance required.
b8b2ca41-4b57-41de-8196-0c47769f9a0e,Medical History,"A record of a patient's past and current health conditions, surgeries, medications, allergies, and family health history.","When you see a doctor in the US, they will ask about your medical history — past illnesses, surgeries, current medications, and allergies. Bring a written summary in English if possible, especially if you have chronic conditions."
fc7a3166-b411-4d53-aa70-8a62f598e301,Prior Authorization,Approval from your insurance company required before receiving certain medical services or medications.,"For some expensive treatments or medications, your insurance company wants to approve it first before they agree to help pay. This pre-approval is called prior authorization. Without it, they may not cover the service."
54ebbd50-5d77-47b6-adbf-364dec5734ba,Medical ID Bracelet,A bracelet worn by individuals with serious medical conditions or allergies to alert emergency responders.,"A medical ID bracelet contains critical health information (like severe allergies or chronic conditions) that emergency responders check if you are unconscious. If you have a serious condition, wearing one while traveling in the US could save your life."
e36b12b4-9690-4d00-a16a-f18917ec8123,Copay,"A fixed dollar amount you pay for a covered healthcare service, usually at the time of service.","Think of a copay like a fixed entry fee. For example, you might pay $30 every time you visit a doctor, regardless of what happens during the appointment. Your insurance covers the rest of the bill."
5b9d7171-bb1f-4745-b9d2-ea0748ef3cc0,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
03d79cde-cbcc-46f4-8ba7-41116fcef4d0,Health Savings Account (HSA),A tax-advantaged savings account used to pay for qualified medical expenses.,"An HSA is a special savings account where you set aside pre-tax money specifically to pay for medical expenses like copays, medications, and dental visits. Only available with high-deductible health plans."
7138a3d6-2453-4e80-9314-5f6b697a35d8,Urgent Care Center,A walk-in clinic for non-life-threatening illnesses and injuries that need same-day attention.,"Urgent care is the 'middle ground' between your doctor and the ER. Great for a sprained ankle, fever, ear infection, or minor cuts. No appointment needed, costs much less than the ER, and wait times are usually shorter."
fd3cf3df-cd96-489b-9836-0a60e3b53049,Vital Signs,"Measurements of basic body functions including temperature, blood pressure, pulse rate, and breathing rate.","When you visit any clinic, a nurse will check your vital signs first: your temperature, blood pressure, heart rate, and how fast you breathe. These basic measurements help the doctor understand your overall health state."
8a0b41c6-8350-471c-bb01-753da73c0f98,Lab Work / Blood Work,"Medical tests performed on blood, urine, or other body fluids to assess health status or diagnose conditions.","When a doctor orders 'labs' or 'blood work,' a small blood or urine sample is collected and analyzed. Results help the doctor understand what is happening in your body, such as checking for infection or monitoring organ function."
e225ab6e-2051-4bb9-8975-e6c517fafeb4,Sutures (Stitches),Threads used by medical professionals to close wounds.,"If you have a deep cut, a doctor may use sutures (stitches) to close the wound. This is typically done at urgent care or the ER. After treatment, you will receive instructions on keeping the wound clean and when to have stitches removed."
74616004-3c4a-446f-9cea-eb5e8d1bebdf,HIPAA,A US federal law protecting the privacy and security of patients' medical information.,"HIPAA means your medical information in the US is legally protected. Healthcare providers cannot share your health details with others without your permission, except in limited situations like emergencies or legal requirements."
ebd4494b-2bfc-4398-b169-2fe6a7a4016a,Sutures (Stitches),Threads used by medical professionals to close wounds.,"If you have a deep cut, a doctor may use sutures (stitches) to close the wound. This is typically done at urgent care or the ER. After treatment, you will receive instructions on keeping the wound clean and when to have stitches removed."
d43b6656-9e6d-4842-925a-57e1d0575fe3,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
62100487-b4be-4625-9a63-87127c11ec31,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
7c8dc575-d2f0-4780-b698-916bae86aae8,Coinsurance,"After meeting your deductible, the percentage of healthcare costs you share with your insurance company.","After you've met your deductible, coinsurance means you and your insurance both share the remaining bill. For example, with 80/20 coinsurance, your insurance pays 80% and you pay 20% of each bill."
ae531389-648e-4f4a-9543-0a6e196457b0,GoodRx,A free US-based prescription discount service that provides coupons to reduce the cost of medications at participating pharmacies.,GoodRx is a free app or website (goodrx.com) that gives you discount coupons for prescription medications at US pharmacies. Uninsured visitors can often save 60–80% on medications using GoodRx. No insurance required.
e9056a1a-2954-4dca-8add-a761c002a13a,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
fa08cb1a-9d63-46a4-aa69-20fda1ed95cd,Sutures (Stitches),Threads used by medical professionals to close wounds.,"If you have a deep cut, a doctor may use sutures (stitches) to close the wound. This is typically done at urgent care or the ER. After treatment, you will receive instructions on keeping the wound clean and when to have stitches removed."
1e65ffcc-1761-457f-b761-4eb8d9d1f5aa,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
9832f095-cd28-4f86-9425-29ee75d85b86,Travel Insurance,"Insurance purchased before a trip that can cover medical emergencies, trip cancellations, and other unexpected events during travel.","Travel insurance is your financial safety net while traveling internationally. If you get sick or injured in the US, it can help cover your hospital bills, emergency transport, and even medical evacuation back to your home country."
abc75cfc-fa19-483d-8be7-d0aba7556eb1,Health Savings Account (HSA),A tax-advantaged savings account used to pay for qualified medical expenses.,"An HSA is a special savings account where you set aside pre-tax money specifically to pay for medical expenses like copays, medications, and dental visits. Only available with high-deductible health plans."
4bbd325e-4c60-45d9-a6e7-a1c2db3cb33b,Explanation of Benefits (EOB),A document from your insurance company explaining what was covered and what you owe after a medical service.,"After a doctor visit, your insurance sends you a summary letter (EOB) that breaks down: what the doctor charged, what the insurance paid, and what you still owe. It is not a bill — it's a record."
f695536b-b568-4e36-b2f8-875597b21f29,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
ec7aaae4-fdf9-496d-8ae7-c8f8622e05b8,HIPAA,A US federal law protecting the privacy and security of patients' medical information.,"HIPAA means your medical information in the US is legally protected. Healthcare providers cannot share your health details with others without your permission, except in limited situations like emergencies or legal requirements."
7c27691b-b8b8-48c5-b379-3e743fbcdd75,EpiPen,A brand-name auto-injector device containing epinephrine used to treat severe allergic reactions.,"An EpiPen is an emergency device that injects epinephrine (adrenaline) into your thigh to rapidly reverse severe allergic reactions. If prescribed one by your doctor, always carry it while traveling. After use, go to the ER immediately."
32a7e392-193d-43e9-b28f-a7a0f9746c31,Anaphylaxis,"A severe, life-threatening allergic reaction requiring immediate epinephrine injection.","Anaphylaxis is the most severe form of allergic reaction. Symptoms include throat swelling, hives, dropping blood pressure, and difficulty breathing. This is always a 911/ER emergency. If you carry an EpiPen, use it immediately."
59938c2b-aaf3-4665-804b-3a71bf1acb4d,Observation Status,A hospital status where a patient is monitored for a period of time while a decision is made about whether to admit them.,"If you visit the ER and the doctor is uncertain whether you need to be hospitalized, you may be placed in 'observation status.' This means you stay in the hospital for monitoring but are not officially admitted — this can affect what your insurance covers."
0524882c-c71b-42e7-ad26-7ab6ac8885f2,911,"The universal emergency telephone number in the United States for police, fire, and medical emergencies.","In any life-threatening emergency in the US, call 911 from any phone (even without a SIM card or credit). Dispatchers are available 24/7 and can send police, fire, or ambulance services immediately. Calls are free."
bf2b61fa-23f3-4101-9700-c7ebb19e6ed4,Triage,The process of sorting patients based on the urgency of their medical needs to prioritize treatment.,"When you arrive at an ER or urgent care, a nurse will quickly assess how sick you are — this is called triage. The most critical patients are seen first, regardless of arrival order. This is why someone who arrives after you may be seen before you."
