facility_id,facility_type,facility_description,common_use_cases,average_cost_range,average_wait_time,appointment_required,insurance_typically_accepted
636a88f6-ef5f-43c6-8392-ec8233c35705,Telehealth Service,"A virtual healthcare platform connecting patients with licensed physicians, nurse practitioners, and mental health professionals via video, phone, or secure messaging.",Cold and flu symptom management; skin condition consultations (photo-based); sleep issues; anxiety and depression support; medication questions,$60 – $150 (specialist telehealth),Scheduled: same day or next day,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
f796bb25-6bd6-49b9-b176-942792f2c0f4,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
81accd91-8412-4c5b-b30e-a8036f31a0bc,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$150 – $350 (with X-ray),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
37993ddb-1034-44f5-b409-59dd67385660,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.","Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
5320d5ec-d79c-4fd6-996d-91d7b12055d7,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$50 – $500+ (brand-name medications without insurance),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
1cc7418a-b628-48fe-a5fd-b3741f7bdd7e,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$1,500 – $3,000 (basic visit)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
8b8ffb53-a413-4d1d-9094-f03a4578412d,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$200 – $500 (with lab tests and procedures),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
bf5cfb2d-12cd-44f3-8fba-6f90331d22a8,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Travel health advice; triage guidance (should I go to the ER?); follow-up care after urgent care; second opinions; lab result interpretation,$60 – $150 (specialist telehealth),On-demand: under 15 minutes,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
9c40255b-4751-45f7-9689-957e367474f5,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.","Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
c81f6119-6372-4754-ab8c-6b38947361e4,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Suspected appendicitis; psychiatric emergencies; severe infections; deep lacerations requiring surgery; head injuries with loss of consciousness,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
a9b3d5bb-9c62-4d68-af2e-9d877278aac6,Community Health Clinic,"A community-based health center serving underinsured and uninsured patients, offering comprehensive primary care with fees adjusted based on income level.",General health check-ups; management of chronic conditions; vaccinations; family planning; dental care (at some locations); mental health services,$0 – $30 (sliding scale for uninsured),1 – 3 days (scheduled appointments),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
654be0bb-e3da-4f42-b011-8286bcfe5954,Community Health Clinic,"A community-based health center serving underinsured and uninsured patients, offering comprehensive primary care with fees adjusted based on income level.",Basic lab tests; blood pressure monitoring; diabetes management; prenatal care; pediatric care; prescription assistance programs,$0 – $30 (sliding scale for uninsured),1 – 3 days (scheduled appointments),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
6340522b-a082-4e78-9e27-62d493b76deb,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$10 – $100 (generic prescriptions),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
3b83fd0c-fa0f-4f2a-8a8b-42161fbae78b,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Travel health advice; triage guidance (should I go to the ER?); follow-up care after urgent care; second opinions; lab result interpretation,$40 – $75 (basic video visit),Scheduled: same day or next day,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
586ff2b8-d1d9-4199-9658-779cb6759b75,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Allergy symptoms; sinus infections; mild asthma flare-ups; minor lacerations; medication refills for short-term conditions,$150 – $350 (with X-ray),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
0b31a365-9482-4656-b477-af9fd17600b5,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
637dc340-595c-4766-a6c3-cb695f56eca5,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Cold and flu symptom management; skin condition consultations (photo-based); sleep issues; anxiety and depression support; medication questions,$40 – $75 (basic video visit),Scheduled: same day or next day,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
dcb04a04-7991-437f-9f73-ae8963c9d7f0,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Cold and flu symptom management; skin condition consultations (photo-based); sleep issues; anxiety and depression support; medication questions,$60 – $150 (specialist telehealth),Scheduled: same day or next day,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
67cf24ac-2083-4354-b4ca-c3a65541e8d6,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
0f2a7da5-29f9-4b43-bec6-b1cbc76c767f,Community Health Clinic,"A community-based health center serving underinsured and uninsured patients, offering comprehensive primary care with fees adjusted based on income level.",General health check-ups; management of chronic conditions; vaccinations; family planning; dental care (at some locations); mental health services,$20 – $80 (low-income scale),1 – 3 days (scheduled appointments),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
89790f51-7f04-4e45-b187-b4da9b4796d8,Community Health Clinic,"A nonprofit or government-funded health center that provides accessible healthcare to all community members, including international visitors, with reduced or no-cost services available.",Basic lab tests; blood pressure monitoring; diabetes management; prenatal care; pediatric care; prescription assistance programs,$0 – $30 (sliding scale for uninsured),Walk-in availability varies by location,Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
93be9d7b-81c6-4744-a4b1-e276a309065f,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$2,000 – $5,000 (with imaging)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
5ea6a973-e925-48b2-892c-cafb8f019f95,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$1,500 – $3,000 (basic visit)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
c190bf44-94c9-4df3-a469-d34e5e8ca454,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
a28d6fba-7938-45c6-bdfc-d2ed101eec6e,Telehealth Service,"An online medical service providing remote consultations, diagnosis support for minor conditions, prescription services, and care coordination without requiring an in-person visit.",Travel health advice; triage guidance (should I go to the ER?); follow-up care after urgent care; second opinions; lab result interpretation,$60 – $150 (specialist telehealth),Scheduled: same day or next day,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
edecad3f-01be-47eb-8156-725309819f40,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Suspected appendicitis; psychiatric emergencies; severe infections; deep lacerations requiring surgery; head injuries with loss of consciousness,"$1,500 – $3,000 (basic visit)",30 min – 4 hours (non-critical),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
f9a56d35-6b3d-4270-a688-22d75ca99dc5,Telehealth Service,"An online medical service providing remote consultations, diagnosis support for minor conditions, prescription services, and care coordination without requiring an in-person visit.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$50 – $100 (with prescription),On-demand: under 15 minutes,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
015a3b62-f1ed-4434-acaa-94b76e9d4d67,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$0 – $20 (OTC medications),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
01df7db2-d867-49d8-80d1-934fde76a290,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
30983f5d-1127-4507-b692-048dce62153c,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$3,000 – $10,000+ (complex cases)",30 min – 4 hours (non-critical),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
419ae08c-6790-4236-8e69-1f3c1dd54c4b,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$100 – $200 (basic visit),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
205d8636-8af8-4392-9627-cac7cd00f44a,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$10 – $100 (generic prescriptions),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
37523a6f-ffd1-48d3-8afd-a753d44fd08a,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$0 – $20 (OTC medications),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
1f4ee85b-a089-4f18-8d2b-91cbaa379f30,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
812dbda6-67a7-49e4-83c3-0b877230cd83,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$1,500 – $3,000 (basic visit)",30 min – 4 hours (non-critical),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
7b3966cb-f079-4935-bbc1-3566c9af4dfc,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.","Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$10 – $100 (generic prescriptions),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
4e877357-7336-4307-95e3-35898c5e1824,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
a152a310-e1b5-4ac7-9981-79419e16d5b3,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$150 – $350 (with X-ray),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
9f662a9c-d91c-48d7-9de7-4207382b4cda,Emergency Room (ER),"The emergency department (ED) of a hospital, designed to handle critical conditions, trauma, and severe illnesses that require immediate intervention and hospital-level resources.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$1,500 – $3,000 (basic visit)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
1048f650-62ab-4b6e-8587-6390fd7fa039,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Filling prescriptions from US physicians; purchasing OTC pain relievers, allergy medication, cold remedies; purchasing first aid supplies",$10 – $100 (generic prescriptions),Up to 1 hour (new prescriptions with insurance verification),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
2a0cdd81-92d0-41da-8e7c-c0a60e2e744f,Pharmacy,A community pharmacy where licensed pharmacists dispense prescription medications and advise customers on OTC drug selection and drug interactions.,"Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$0 – $20 (OTC medications),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
4f8a8552-75b3-43cf-b564-0667782fe06a,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$50 – $500+ (brand-name medications without insurance),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
a8d52f70-0a33-4cd6-a77c-202a9f7f87d4,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
a9b5c43c-044d-422f-a93e-dc5ef5f1a1ba,Telehealth Service,"A virtual healthcare platform connecting patients with licensed physicians, nurse practitioners, and mental health professionals via video, phone, or secure messaging.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$60 – $150 (specialist telehealth),Mental health: within 24-48 hours,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
6c4dd253-7580-4723-ae12-3b1041a84bd4,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),Under 30 minutes (off-peak),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
83e7290b-054d-49d0-b12b-24776e5667d2,Telehealth Service,"A virtual healthcare platform connecting patients with licensed physicians, nurse practitioners, and mental health professionals via video, phone, or secure messaging.",Travel health advice; triage guidance (should I go to the ER?); follow-up care after urgent care; second opinions; lab result interpretation,$50 – $100 (with prescription),On-demand: under 15 minutes,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
251b7979-c00f-49b7-beee-3bbfacc89e6f,Urgent Care Center,A walk-in medical clinic providing care for non-life-threatening illnesses and injuries that require same-day attention but are not severe enough for an emergency room visit.,Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$200 – $500 (with lab tests and procedures),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
581893b6-0a7a-4451-9acd-0834ca34239b,Community Health Clinic,"A nonprofit or government-funded health center that provides accessible healthcare to all community members, including international visitors, with reduced or no-cost services available.",General health check-ups; management of chronic conditions; vaccinations; family planning; dental care (at some locations); mental health services,$20 – $80 (low-income scale),1 – 3 days (scheduled appointments),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
ef8e8194-8c6b-479f-8a75-48febe32d992,Community Health Clinic,"A federally qualified health center (FQHC) or nonprofit clinic providing affordable primary care, preventive services, and basic medical care on a sliding-fee scale regardless of insurance status.",Basic lab tests; blood pressure monitoring; diabetes management; prenatal care; pediatric care; prescription assistance programs,"$80 – $180 (full pay, still below private rates)",Same-day (urgent slots),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
121fe15f-01a6-4f8e-a05b-8ffb2c2b9877,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$1,500 – $3,000 (basic visit)",Immediate (life-threatening),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
ecb0a9ec-1517-47a3-9cc1-c6e151aa91de,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Flu symptoms; eye infections (pink eye); minor burns; animal bites; STI testing; sports injuries; nausea and vomiting; back pain,$100 – $200 (basic visit),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
7550d642-eb38-4bde-b627-925b6b4de3f8,Urgent Care Center,"A freestanding outpatient clinic offering extended hours and walk-in availability for acute medical conditions, minor injuries, and illnesses.",Allergy symptoms; sinus infections; mild asthma flare-ups; minor lacerations; medication refills for short-term conditions,$200 – $500 (with lab tests and procedures),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
b551d87b-2265-4bdb-bdfc-2603abb9f94f,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$10 – $100 (generic prescriptions),15 – 30 minutes (prescription fill),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
aecc06de-9669-4728-8454-90cdf7da4979,Telehealth Service,"A virtual healthcare platform connecting patients with licensed physicians, nurse practitioners, and mental health professionals via video, phone, or secure messaging.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$50 – $100 (with prescription),On-demand: under 15 minutes,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
748c2b90-89d3-4543-a2b9-3ff5193f9a16,Community Health Clinic,"A community-based health center serving underinsured and uninsured patients, offering comprehensive primary care with fees adjusted based on income level.",Health education; social services referrals; sliding-scale fee primary care; care for uninsured patients; language interpreter services,"$80 – $180 (full pay, still below private rates)",1 – 3 days (scheduled appointments),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
c75e919a-30f5-40c3-9f7e-d6b4e24f1522,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
b8d65d67-2b46-4844-a9b8-4d150a6c7922,Emergency Room (ER),"A fully equipped medical facility within a hospital that operates around the clock, equipped with advanced diagnostic tools including CT scanners, MRI, and surgical suites.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$3,000 – $10,000+ (complex cases)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
1158430e-910e-412c-9dc3-d87cc969613e,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Prescription renewals for chronic conditions; mental health counseling; minor illness evaluation; COVID-19 symptom assessment; medical advice,$50 – $100 (with prescription),Scheduled: same day or next day,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
6788ca44-f568-4e4b-bf32-c68b014f7772,Telehealth Service,"A digital health platform offering 24/7 access to US-licensed healthcare providers for non-emergency medical consultations, mental health support, and prescription management.",Cold and flu symptom management; skin condition consultations (photo-based); sleep issues; anxiety and depression support; medication questions,$40 – $75 (basic video visit),Mental health: within 24-48 hours,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
ead609ae-e950-405b-ab8e-9677b60ae290,Community Health Clinic,"A federally qualified health center (FQHC) or nonprofit clinic providing affordable primary care, preventive services, and basic medical care on a sliding-fee scale regardless of insurance status.",Health education; social services referrals; sliding-scale fee primary care; care for uninsured patients; language interpreter services,$20 – $80 (low-income scale),1 – 3 days (scheduled appointments),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
6ba1cc87-a4db-4d68-bda3-0195693c4927,Community Health Clinic,"A community-based health center serving underinsured and uninsured patients, offering comprehensive primary care with fees adjusted based on income level.",Health education; social services referrals; sliding-scale fee primary care; care for uninsured patients; language interpreter services,$20 – $80 (low-income scale),Same-day (urgent slots),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
